Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-7.95	7.58	0.	164.76
2	-6.97	7.91	0.	156.19
3	-7.75	8.6	0.	126.41
4	2.99	5.55	0.	161.51
5	4.51	5.07	0.	157.1
6	4.17	6.63	0.	118.95
7	-5.81	4.56	0.	163.15
8	-6.09	5.59	0.	115.
9	-6.85	4.83	0.	157.07
10	-0.36	4.7	0.	177.44
11	0.9	4.67	0.	177.54
12	0.29	5.79	0.	109.95
13	-4.15	0.82	0.	156.93
14	-3.86	-1.12	0.	132.45
15	-2.32	0.11	0.	153.59
16	1.08	0.62	0.	155.61
17	-0.14	1.e-002	0.	165.08
18	1.	-0.74	0.	135.35
19	2.2	-1.06	0.	176.81
20	3.7	-1.37	0.	175.66
21	3.22	9.e-002	0.	116.77
22	-1.61	-1.62	0.	167.17
23	-2.59	-1.96	0.	152.59
24	-1.8	-2.64	0.	136.48
25	2.23	-7.22	0.	181.57
26	3.68	-7.52	0.	165.41
27	3.22	-6.11	0.	117.98
28	5.23	-8.72	0.	119.64
29	5.48	-7.61	0.	169.02
30	4.39	-7.95	0.	178.72
31	5.62	-6.89	0.	180.59
32	6.75	-7.13	0.	173.04
33	6.4	-6.03	0.	127.15
34	0.37	-7.48	0.	160.4
35	0.98	-8.63	0.	108.25
36	1.67	-7.53	0.	188.23
37	3.	9.	0.	135.53
38	3.	7.	0.	131.59
39	4.	9.	0.	133.89
40	4.	7.	0.	114.23
41	6.	7.	0.	134.59
42	6.	5.	0.	134.47
43	7.	7.	0.	133.2
44	7.	5.	0.	130.64
45	4.	1.	0.	136.63
46	4.0037	-0.99625	0.	156.23
47	6.	1.	0.	137.96
48	6.	-1.	0.	136.77
49	7.	0.	0.	136.03
50	7.	-2.	0.	137.92
51	8.	0.	0.	135.15
52	8.	-2.	0.	135.24
53	0.	-6.	0.	134.72
54	0.	-7.	0.	143.83
55	1.	-6.	0.	128.34
56	1.	-7.	0.	114.92
57	-6.	-6.	0.	133.58
58	-6.	-7.	0.	133.38
59	-5.	-6.	0.	133.66
60	-5.	-7.	0.	132.69
61	10.	10.	0.	125.01
62	-10.	10.	0.	125.07
63	10.	-10.	0.	132.59
64	-10.	-10.	0.	127.69
65	0.33334	-7.	0.	117.37
66	3.5813	-1.009	0.	146.47
67	1.0197	-7.505	0.	101.14
68	-7.46	7.745	0.	92.132
69	-7.85	8.09	0.	142.62
70	-7.36	8.255	0.	59.07
71	3.4967	5.39	0.	90.181
72	4.0033	5.23	0.	101.23
73	3.3833	5.91	0.	73.826
74	3.7767	6.27	0.	87.643
75	4.3967	5.59	0.	139.37
76	4.2833	6.11	0.	136.79
77	-5.95	5.075	0.	134.52
78	-6.33	4.695	0.	97.599
79	-6.47	5.21	0.	61.688
80	6.e-002	4.69	0.	103.68
81	0.48	4.68	0.	104.51
82	-0.14333	5.0633	0.	121.14
83	7.3333e-002	5.4267	0.	102.4
84	0.69726	5.0423	0.	123.08
85	0.49363	5.4161	0.	102.81
86	-4.0775	0.335	0.	144.37
87	-4.005	-0.15	0.	143.58
88	-3.9325	-0.635	0.	140.14
89	-3.6925	0.6425	0.	105.16
90	-3.235	0.465	0.	112.63
91	-2.7775	0.2875	0.	95.908
92	-3.475	-0.8125	0.	93.554
93	-3.09	-0.505	0.	107.57
94	-2.705	-0.1975	0.	87.155
95	0.67333	0.41667	0.	99.51
96	0.26667	0.21333	0.	79.36
97	1.0533	0.16667	0.	149.99
98	1.0267	-0.28667	0.	143.45
99	0.24	-0.24	0.	70.407
100	0.62	-0.49	0.	90.248
101	2.7	-1.1633	0.	107.
102	3.2	-1.2667	0.	111.22
103	2.54	-0.67667	0.	86.096
104	2.88	-0.29333	0.	93.521
105	3.342	-0.28119	0.	143.82
106	3.4622	-0.64656	0.	137.91
107	-2.1	-1.79	0.	93.141
108	-1.705	-2.13	0.	146.73
109	-2.195	-2.3	0.	63.901
110	2.7133	-7.32	0.	105.96
111	3.1967	-7.42	0.	108.05
112	2.56	-6.85	0.	78.611
113	2.89	-6.48	0.	90.467
114	3.5267	-7.05	0.	138.6
115	3.3733	-6.58	0.	128.98
116	5.355	-8.165	0.	132.26
117	4.81	-8.335	0.	57.772
118	4.935	-7.78	0.	109.15
119	5.9967	-6.97	0.	87.194
120	6.3733	-7.05	0.	109.02
121	5.8795	-6.6039	0.	89.774
122	6.1398	-6.3169	0.	83.002
123	6.6333	-6.7633	0.	143.29
124	6.5167	-6.3967	0.	123.04
125	0.57333	-7.8633	0.	110.51
126	0.77667	-8.2467	0.	105.21
127	0.69485	-7.4925	0.	101.01
128	1.3448	-7.5175	0.	121.09
129	1.21	-8.2633	0.	103.4
130	1.44	-7.8967	0.	114.82
131	3.	8.5	0.	142.71
132	3.	8.	0.	142.78
133	3.	7.5	0.	142.59
134	3.5	9.	0.	109.71
135	3.5	7.	0.	107.62
136	4.	8.5	0.	141.08
137	4.	8.	0.	139.27
138	4.	7.5	0.	134.91
139	6.	6.5	0.	142.96
140	6.	6.	0.	140.89
141	6.	5.5	0.	139.84
142	6.5	7.	0.	108.31
143	6.5	5.	0.	107.41
144	7.	6.5	0.	141.59
145	7.	6.	0.	141.57
146	7.	5.5	0.	141.06
147	4.	0.5	0.	147.73
148	4.	0.	0.	146.66
149	4.	-0.5	0.	142.48
150	4.5	1.	0.	115.34
151	5.	1.	0.	119.82
152	5.5	1.	0.	115.53
153	4.5	-1.	0.	109.08
154	5.	-1.	0.	114.35
155	5.5	-1.	0.	112.52
156	6.	0.5	0.	148.22
157	6.	0.	0.	148.26
158	6.	-0.5	0.	146.07
159	7.	-0.5	0.	144.28
160	7.	-1.	0.	146.5
161	7.	-1.5	0.	147.23
162	7.5	0.	0.	109.01
163	7.5	-2.	0.	111.66
164	8.	-0.5	0.	145.14
165	8.	-1.	0.	145.99
166	8.	-1.5	0.	145.84
167	0.	-6.5	0.	143.28
168	0.5	-6.	0.	108.66
169	0.66667	-7.	0.	95.793
170	1.	-6.5	0.	127.04
171	-6.	-6.5	0.	142.77
172	-5.5	-6.	0.	111.32
173	-5.5	-7.	0.	110.79
174	-5.	-6.5	0.	142.3
175	9.5	10.	0.	125.03
176	9.	10.	0.	125.06
177	8.5	10.	0.	124.98
178	8.	10.	0.	124.74
179	7.5	10.	0.	124.38
180	7.	10.	0.	124.1
181	6.5	10.	0.	124.08
182	6.	10.	0.	124.43
183	5.5	10.	0.	124.94
184	5.	10.	0.	125.26
185	4.5	10.	0.	123.34
186	4.	10.	0.	118.5
187	3.5	10.	0.	116.82
188	3.	10.	0.	119.13
189	2.5	10.	0.	124.56
