Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	3.	0.	0.	130.07
2	3.	-1.	0.	135.92
3	5.	0.	0.	140.84
4	5.	-1.	0.	139.29
5	2.	2.	0.	138.21
6	2.	1.	0.	140.2
7	4.	2.	0.	133.27
8	4.	1.	0.	129.65
9	0.	-2.	0.	140.87
10	0.	-3.	0.	142.22
11	2.	-2.	0.	138.82
12	2.	-3.	0.	135.8
13	-6.	6.	0.	134.46
14	-6.	5.	0.	134.31
15	-4.	6.	0.	134.34
16	-4.	5.	0.	136.1
17	8.	2.	0.	134.54
18	8.	1.	0.	132.34
19	9.	2.	0.	133.86
20	9.	1.	0.	132.82
21	8.	-1.	0.	131.86
22	8.	-2.	0.	133.69
23	9.	-1.	0.	132.46
24	9.	-2.	0.	133.36
25	2.	-7.	0.	134.3
26	2.	-8.	0.	134.47
27	4.	-7.	0.	135.65
28	4.	-8.	0.	136.43
29	6.	9.	0.	135.69
30	6.	7.	0.	132.38
31	7.	9.	0.	135.44
32	7.	7.	0.	132.19
33	-5.	0.	0.	133.46
34	-5.	-1.	0.	131.29
35	-3.	0.	0.	136.49
36	-3.	-1.	0.	134.72
37	-5.	-2.	0.	130.04
38	-5.	-3.	0.	133.47
39	-3.	-2.	0.	134.37
40	-3.	-3.	0.	136.57
41	-6.	9.	0.	137.33
42	-6.	8.	0.	133.9
43	-4.	9.	0.	136.87
44	-4.	8.	0.	133.17
45	-2.	-1.	0.	136.12
46	-2.	-3.	0.	133.9
47	-1.	-1.	0.	136.75
48	-1.	-3.	0.	136.48
49	-2.	4.	0.	137.02
50	-2.	3.	0.	137.07
51	0.	4.	0.	136.87
52	0.	3.	0.	136.42
53	-7.	-5.	0.	137.46
54	-7.	-7.	0.	135.64
55	-5.	-5.	0.	135.39
56	-5.	-7.	0.	133.52
57	7.	-6.	0.	137.7
58	7.	-8.	0.	136.49
59	9.	-6.	0.	137.29
60	9.	-8.	0.	137.08
61	-3.	-5.	0.	131.13
62	-3.	-7.	0.	130.82
63	-2.	-5.	0.	131.04
64	-2.	-7.	0.	129.33
65	0.	9.	0.	138.51
66	0.	7.	0.	135.05
67	2.	9.	0.	139.33
68	2.	7.	0.	135.5
69	10.	10.	0.	125.05
70	-10.	10.	0.	125.02
71	10.	-10.	0.	134.1
