Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	6.57	7.62	0.	117.44
2	6.1	6.06	0.	159.64
3	7.69	6.44	0.	172.11
4	7.18	1.44	0.	125.49
5	6.82	-0.21	0.	154.39
6	8.43	0.31	0.	173.18
7	6.38	-5.23	0.	171.4
8	7.88	-5.18	0.	172.77
9	7.09	-3.91	0.	107.53
10	0.63	-7.75	0.	157.73
11	1.61	-8.12	0.	155.92
12	1.44	-7.08	0.	132.95
13	-2.07	-5.85	0.	113.38
14	-1.38	-4.8	0.	180.42
15	-2.64	-4.72	0.	175.05
16	0.27	6.4	0.	172.28
17	-0.96	6.36	0.	176.1
18	-0.31	5.32	0.	109.51
19	-5.27	-2.39	0.	165.37
20	-6.83	-2.78	0.	170.7
21	-5.72	-3.94	0.	118.
22	-6.74	3.38	0.	151.02
23	-8.03	4.21	0.	140.52
24	-8.1	2.68	0.	147.2
25	-7.93	1.6	0.	160.22
26	-7.23	0.36	0.	106.8
27	-6.51	1.59	0.	168.88
28	5.	4.	0.	136.69
29	5.	3.	0.	137.38
30	7.	4.	0.	127.73
31	7.	3.	0.	129.89
32	0.	4.	0.	128.8
33	0.	3.	0.	130.7
34	1.	4.	0.	134.54
35	1.	3.	0.	133.67
36	-9.	-7.	0.	134.
37	-9.	-8.	0.	133.91
38	-8.	-7.	0.	133.04
39	-8.	-8.	0.	132.54
40	10.	10.	0.	124.99
41	-10.	10.	0.	125.
42	10.	-10.	0.	125.37
43	-10.	-10.	0.	127.93
44	6.4133	7.1	0.	130.38
45	6.2567	6.58	0.	135.67
46	6.9443	7.2256	0.	88.914
47	7.3187	6.8312	0.	87.072
48	6.63	6.1867	0.	106.44
49	7.16	6.3133	0.	104.27
50	7.09	1.0275	0.	130.91
51	7.	0.615	0.	136.28
52	6.91	0.2025	0.	139.55
53	7.4925	1.1575	0.	95.158
54	7.805	0.875	0.	102.69
55	8.1175	0.5925	0.	86.496
56	7.2225	-8.e-002	0.	102.09
57	7.625	5.e-002	0.	111.8
58	8.0275	0.18	0.	95.207
59	6.88	-5.2133	0.	111.26
60	7.38	-5.1967	0.	110.95
61	6.6167	-4.79	0.	115.43
62	6.8533	-4.35	0.	109.66
63	7.6167	-4.7567	0.	105.7
64	7.3533	-4.3333	0.	102.82
65	1.12	-7.935	0.	82.719
66	1.035	-7.415	0.	61.294
67	1.525	-7.6	0.	142.74
68	-1.84	-5.5	0.	96.763
69	-1.61	-5.15	0.	113.
70	-2.26	-5.4733	0.	108.69
71	-2.45	-5.0967	0.	129.38
72	-1.8	-4.7733	0.	102.69
73	-2.22	-4.7467	0.	107.67
74	-0.14	6.3867	0.	102.24
75	-0.55	6.3733	0.	103.61
76	7.6667e-002	6.04	0.	121.25
77	-0.11667	5.68	0.	106.63
78	-0.74333	6.0133	0.	114.67
79	-0.52667	5.6667	0.	96.216
80	-5.79	-2.52	0.	108.21
81	-6.31	-2.65	0.	99.507
82	-5.42	-2.9067	0.	136.87
83	-5.57	-3.4233	0.	131.08
84	-6.46	-3.1667	0.	79.596
85	-6.09	-3.5533	0.	88.797
86	-7.17	3.6567	0.	77.323
87	-7.6	3.9333	0.	88.745
88	-7.1933	3.1467	0.	77.559
89	-7.6467	2.9133	0.	90.33
90	-8.0533	3.7	0.	143.41
91	-8.0767	3.19	0.	145.17
92	-7.6967	1.1867	0.	104.43
93	-7.4633	0.77333	0.	101.69
94	-7.4567	1.5967	0.	103.43
95	-6.9833	1.5933	0.	102.95
96	-6.99	0.77	0.	103.14
97	-6.75	1.18	0.	114.32
98	5.	3.5	0.	145.36
99	5.5	4.	0.	117.81
100	6.	4.	0.	119.44
101	6.5	4.	0.	111.15
102	5.5	3.	0.	118.19
103	6.	3.	0.	121.67
104	6.5	3.	0.	113.48
105	7.	3.5	0.	136.55
106	0.	3.5	0.	138.86
107	0.5	4.	0.	110.37
108	0.5	3.	0.	109.78
109	1.	3.5	0.	142.93
110	-9.	-7.5	0.	144.33
111	-8.5	-7.	0.	111.33
112	-8.5	-8.	0.	110.96
113	-8.	-7.5	0.	141.9
114	9.5	10.	0.	124.97
115	9.	10.	0.	124.68
116	8.5	10.	0.	124.01
117	8.	10.	0.	123.01
118	7.5	10.	0.	121.99
119	7.	10.	0.	121.45
120	6.5	10.	0.	121.74
121	6.	10.	0.	122.88
122	5.5	10.	0.	124.4
123	5.	10.	0.	125.78
124	4.5	10.	0.	126.72
125	4.	10.	0.	127.24
126	3.5	10.	0.	127.45
127	3.	10.	0.	127.44
128	2.5	10.	0.	127.25
129	2.	10.	0.	126.87
130	1.5	10.	0.	126.32
131	1.	10.	0.	125.65
132	0.5	10.	0.	125.
133	-5.2042e-015	10.	0.	124.56
134	-0.5	10.	0.	124.47
135	-1.	10.	0.	124.75
136	-1.5	10.	0.	125.27
137	-2.	10.	0.	125.83
138	-2.5	10.	0.	126.25
139	-3.	10.	0.	126.46
140	-3.5	10.	0.	126.47
141	-4.	10.	0.	126.32
142	-4.5	10.	0.	126.06
143	-5.	10.	0.	125.75
144	-5.5	10.	0.	125.44
145	-6.	10.	0.	125.14
146	-6.5	10.	0.	124.91
147	-7.	10.	0.	124.76
148	-7.5	10.	0.	124.7
149	-8.	10.	0.	124.73
150	-8.5	10.	0.	124.82
151	-9.	10.	0.	124.92
152	-9.5	10.	0.	124.99
153	10.	9.5	0.	125.02
154	10.	9.	0.	125.3
155	10.	8.5	0.	125.38
156	10.	8.	0.	124.7
157	10.	7.5	0.	123.38
158	10.	7.	0.	122.24
159	10.	6.5	0.	122.62
160	10.	6.	0.	124.75
161	10.	5.5	0.	127.49
162	10.	5.	0.	129.37
163	10.	4.5	0.	130.01
164	10.	4.	0.	130.01
